TTDID	WiKi pathway ID	WiKi pathway name
TTDC00005	WP1530	miRNA Regulation of DNA Damage Response
TTDC00005	WP1775	Cell Cycle Checkpoints
TTDC00005	WP179	Cell Cycle
TTDC00005	WP1971	Integrated Cancer pathway
TTDC00005	WP1984	Integrated Breast Cancer Pathway
TTDC00005	WP2263	Prostate Cancer
TTDC00005	WP2377	Integrated Pancreatic Cancer Pathway
TTDC00005	WP2446	Retinoblastoma (RB) in Cancer
TTDC00005	WP2516	ATM Signaling Pathway
TTDC00005	WP2713	Signaling by SCF-KIT
TTDC00005	WP707	DNA Damage Response
TTDC00006	WP1782	APC/C-mediated degradation of cell cycle proteins
TTDC00006	WP1984	Integrated Breast Cancer Pathway
TTDC00006	WP2361	Gastric Cancer Network 1
TTDC00006	WP2593	JAK/STAT
TTDC00006	WP437	EGF/EGFR Signaling Pathway
TTDC00007	WP1449	Regulation of toll-like receptor signaling pathway
TTDC00007	WP2709	Trafficking and processing of endosomal TLR
TTDC00007	WP2752	MyD88-independent cascade
TTDC00007	WP2775	Toll-Like Receptors Cascades
TTDC00007	WP2794	Cytosolic sensors of pathogen-associated DNA
TTDC00007	WP75	Toll-like receptor signaling pathway
TTDC00009	WP2670	Iron uptake and transport
TTDC00010	WP1530	miRNA Regulation of DNA Damage Response
TTDC00010	WP179	Cell Cycle
TTDC00010	WP1971	Integrated Cancer pathway
TTDC00010	WP1984	Integrated Breast Cancer Pathway
TTDC00010	WP2263	Prostate Cancer
TTDC00010	WP2377	Integrated Pancreatic Cancer Pathway
TTDC00010	WP2516	ATM Signaling Pathway
TTDC00010	WP707	DNA Damage Response
TTDC00012	WP1794	Cell surface interactions at the vascular wall
TTDC00012	WP1832	Integrin alphaIIb beta3 signaling
TTDC00012	WP1833	Integrin cell surface interactions
TTDC00012	WP2643	Nanoparticle-mediated activation of receptor signaling
TTDC00012	WP2703	Extracellular matrix organization
TTDC00012	WP2911	miRNA targets in ECM and membrane receptors
TTDC00012	WP306	Focal Adhesion
TTDC00012	WP366	TGF beta Signaling Pathway
TTDC00012	WP453	Inflammatory Response Pathway
TTDC00012	WP51	Regulation of Actin Cytoskeleton
TTDC00012	WP615	Senescence and Autophagy in Cancer
TTDC00013	WP1818	Formation of Fibrin Clot (Clotting Cascade)
TTDC00013	WP272	Blood Clotting Cascade
TTDC00013	WP2806	Human Complement System
TTDC00013	WP558	Complement and Coagulation Cascades
TTDC00014	WP2788	Sphingolipid metabolism
TTDC00015	WP1903	Response to elevated platelet cytosolic Ca2+
TTDC00015	WP1978	Opioid Signalling
TTDC00015	WP2012	miRs in Muscle Cell Differentiation
TTDC00015	WP2261	Signaling Pathways in Glioblastoma
TTDC00015	WP2688	DAG and IP3 signaling
TTDC00015	WP289	Myometrial Relaxation and Contraction Pathways
TTDC00015	WP35	G Protein Signaling Pathways
TTDC00015	WP363	Wnt Signaling Pathway Netpath
TTDC00015	WP382	MAPK Signaling Pathway
TTDC00015	WP399	Wnt Signaling Pathway and Pluripotency
TTDC00015	WP428	Wnt Signaling Pathway
TTDC00015	WP536	Calcium Regulation in the Cardiac Cell
TTDC00016	WP2788	Sphingolipid metabolism
TTDC00017	WP1824	GPCR downstream signaling
TTDC00017	WP1825	GPCR ligand binding
TTDC00017	WP2197	Endothelin Pathways
TTDC00017	WP289	Myometrial Relaxation and Contraction Pathways
TTDC00018	WP1433	NOD pathway
TTDC00018	WP1850	Metabolism of nitric oxide
TTDC00018	WP1859	Mitotic G2-G2/M phases
TTDC00018	WP1907	Semaphorin interactions
TTDC00018	WP1910	Signaling by EGFR
TTDC00018	WP2100	Arylhydrocarbon receptor (AhR) signaling pathway
TTDC00018	WP231	TNF alpha Signaling Pathway
TTDC00018	WP2355	Corticotropin-releasing hormone
TTDC00018	WP2586	Aryl Hydrocarbon Receptor
TTDC00018	WP262	EBV LMP1 signaling
