TTD Target ID	Target Name	Target Type	Uniprot ID
TTDC00001	RNA-dependent RNA polymerase	Clinical trial target	P87764
TTDC00002	Hemagglutinin	Clinical trial target	P03437
TTDC00005	Serine/threonine-protein kinase Chk1	Clinical trial target	O14757
TTDC00006	Aurora kinase A	Clinical trial target	O14965
TTDC00007	Toll-like receptor 3	Discontinued target	O15455
TTDC00009	5-hydroxy-tryptamine 3B receptor	Clinical trial target	O95264
TTDC00010	Serine/threonine-protein kinase Chk2	Clinical trial target	O96017
TTDC00012	Fibronectin	Clinical trial target	P02751
TTDC00013	Plasma kallikrein	Successful target	P03952
TTDC00014	Glucosylceramidase	Clinical trial target	P04062
TTDC00015	Protein kinase C gamma type	Clinical trial target	P05129
TTDC00016	Alpha-galactosidase A	Clinical trial target	P06280
TTDC00017	Calcitonin gene-related peptide 1	Clinical trial target	P06881
TTDC00018	Heat shock protein HSP 90	Clinical trial target	P07900
TTDC00019	Cathepsin G	Clinical trial target	P08311
TTDC00020	Integrin alpha-5	Clinical trial target	P08648
TTDC00022	mRNA of Myb proto-oncogene protein	Clinical trial target	P10242
TTDC00023	Lysosomal alpha-glucosidase	Clinical trial target	P10253
TTDC00024	Basic fibroblast growth factor receptor 1	Clinical trial target	P11362
TTDC00025	Phospholipase A2, membrane associated	Clinical trial target	P14555
TTDC00026	Interleukin-2 receptor subunit beta	Clinical trial target	P14784
TTDC00027	Histidine decarboxylase	Clinical trial target	P19113
TTDC00028	Tissue kallikrein	Clinical trial target	P20151
TTDC00029	Atrial natriuretic peptide receptor B	Clinical trial target	P20594
TTDC00030	P-glycoprotein	Clinical trial target	P21439
TTDC00031	Integrin beta-7	Clinical trial target	P26010
TTDC00032	Tyrosine-protein phosphatase non-receptor type 6	Clinical trial target	P29350
TTDC00033	Interleukin-12	Successful target	P29459
TTDC00034	Somatostatin receptor type 4	Clinical trial target	P31391
TTDC00037	Prostaglandin E2 receptor EP3 subtype	Clinical trial target	P43115
TTDC00038	Voltage-dependent anion-selective channel protein 2	Clinical trial target	P45880
TTDC00039	Glycine receptor	Clinical trial target	P48167
TTDC00040	Neuropeptide Y receptor type 2	Clinical trial target	P49146
TTDC00041	Parathyroid hormone receptor	Clinical trial target	P49190
